icb_ons_code,appointment_month,appointment_status,hcp_type,appointment_mode,time_between_book_and_appointment,count_of_appointments
E54000038,1-20,Unknown,GP,Face-to-Face,More than 28 Days,252
E54000015,8-21,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,2
E54000062,1-21,Unknown,GP,Face-to-Face,1 Day,787
E54000050,2-22,Attended,Unknown,Face-to-Face,Same Day,1002
E54000061,5-20,DNA,GP,Video/Online,15  to 21 Days,4
E54000025,8-20,DNA,GP,Unknown,Same Day,60
E54000026,5-22,Attended,GP,Home Visit,1 Day,113
E54000008,9-21,DNA,Unknown,Face-to-Face,8  to 14 Days,3
E54000023,3-20,Attended,Other Practice staff,Home Visit,Unknown / Data Quality,1
E54000042,9-21,Unknown,GP,Telephone,More than 28 Days,559
E54000011,10-21,Attended,GP,Face-to-Face,Same Day,36597
E54000061,4-21,Unknown,Unknown,Telephone,1 Day,2
E54000008,11-21,Attended,Unknown,Face-to-Face,2 to 7 Days,41
E54000015,11-21,Attended,Other Practice staff,Home Visit,22  to 28 Days,4
E54000051,5-20,Unknown,GP,Home Visit,Same Day,6
E54000028,6-20,Unknown,Other Practice staff,Telephone,1 Day,262
E54000031,7-21,Attended,GP,Unknown,More than 28 Days,71
E54000019,6-22,DNA,GP,Face-to-Face,2 to 7 Days,683
E54000018,10-21,Attended,GP,Video/Online,Same Day,69
E54000029,2-21,Attended,Unknown,Telephone,8  to 14 Days,27
E54000060,3-22,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,1658
E54000042,11-21,DNA,GP,Telephone,8  to 14 Days,536
E54000057,7-20,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,414
E54000048,10-20,Attended,GP,Home Visit,Same Day,99
E54000050,5-21,DNA,GP,Telephone,2 to 7 Days,122
E54000054,2-22,Attended,GP,Home Visit,2 to 7 Days,5
E54000034,12-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,12
E54000026,4-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,385
E54000026,11-20,Attended,Other Practice staff,Face-to-Face,1 Day,1927
E54000061,3-22,Unknown,GP,Face-to-Face,8  to 14 Days,181
E54000051,7-21,DNA,Unknown,Unknown,8  to 14 Days,22
E54000048,2-22,Attended,GP,Video/Online,Same Day,28
E54000028,10-20,Unknown,Unknown,Telephone,2 to 7 Days,2
E54000050,3-21,DNA,Other Practice staff,Telephone,More than 28 Days,10
E54000011,6-22,Attended,Other Practice staff,Telephone,More than 28 Days,218
E54000050,10-21,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,3
E54000028,8-20,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2272
E54000008,5-21,DNA,Other Practice staff,Unknown,15  to 21 Days,8
E54000023,1-22,DNA,Unknown,Unknown,15  to 21 Days,25
E54000041,11-21,DNA,GP,Face-to-Face,Same Day,335
E54000060,1-20,Attended,GP,Face-to-Face,22  to 28 Days,9329
E54000057,4-22,Attended,Other Practice staff,Home Visit,Same Day,81
E54000057,11-21,Unknown,Unknown,Home Visit,1 Day,26
E54000050,9-20,Attended,Unknown,Unknown,15  to 21 Days,507
E54000061,3-22,DNA,Unknown,Unknown,1 Day,5
E54000011,4-20,Unknown,GP,Home Visit,1 Day,19
E54000008,8-20,DNA,Unknown,Telephone,1 Day,147
E54000008,9-21,Attended,GP,Home Visit,2 to 7 Days,32
E54000048,2-22,Attended,Other Practice staff,Home Visit,Same Day,111
E54000059,8-20,DNA,Other Practice staff,Home Visit,1 Day,1
E54000032,11-21,Attended,GP,Unknown,8  to 14 Days,443
E54000031,1-21,Unknown,Unknown,Face-to-Face,Unknown / Data Quality,5
E54000029,3-20,Unknown,GP,Unknown,More than 28 Days,19
E54000057,6-20,Attended,Unknown,Telephone,Same Day,176
E54000026,5-21,Attended,Unknown,Unknown,2 to 7 Days,276
E54000018,2-21,Unknown,GP,Telephone,More than 28 Days,9
E54000026,4-21,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,1181
E54000048,2-22,DNA,Other Practice staff,Home Visit,22  to 28 Days,3
E54000024,6-20,Attended,Other Practice staff,Video/Online,More than 28 Days,4
E54000051,7-20,Attended,Other Practice staff,Home Visit,Same Day,66
E54000028,2-21,Attended,Other Practice staff,Telephone,1 Day,7229
E54000008,7-20,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,228
E54000008,11-20,Attended,Unknown,Home Visit,8  to 14 Days,1
E54000051,3-22,DNA,GP,Telephone,22  to 28 Days,6
E54000015,3-20,DNA,Other Practice staff,Unknown,More than 28 Days,18
E54000050,12-21,Unknown,GP,Face-to-Face,2 to 7 Days,405
E54000057,5-21,Attended,GP,Home Visit,Same Day,198
E54000062,12-20,Unknown,Other Practice staff,Home Visit,2 to 7 Days,33
E54000052,4-21,Attended,Other Practice staff,Face-to-Face,More than 28 Days,6439
E54000042,2-20,DNA,Other Practice staff,Home Visit,22  to 28 Days,4
E54000044,12-20,Unknown,GP,Home Visit,2 to 7 Days,30
E54000057,3-20,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,999
E54000057,10-21,Attended,GP,Telephone,22  to 28 Days,630
E54000025,1-21,Attended,GP,Face-to-Face,15  to 21 Days,924
E54000054,3-21,DNA,Unknown,Unknown,22  to 28 Days,11
E54000051,12-20,Attended,Other Practice staff,Telephone,1 Day,1337
E54000038,2-21,Unknown,Other Practice staff,Unknown,More than 28 Days,48
E54000057,6-20,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,31
E54000032,9-20,Unknown,Unknown,Home Visit,1 Day,21
E54000060,2-20,DNA,GP,Video/Online,8  to 14 Days,96
E54000050,5-21,Attended,Other Practice staff,Video/Online,More than 28 Days,17
E54000057,11-20,DNA,Other Practice staff,Home Visit,More than 28 Days,1
E54000023,11-21,Unknown,GP,Telephone,Unknown / Data Quality,3
E54000050,10-20,Unknown,GP,Home Visit,More than 28 Days,3
E54000048,7-20,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,3303
E54000010,9-21,Unknown,GP,Video/Online,2 to 7 Days,12
E54000039,6-20,Unknown,GP,Face-to-Face,8  to 14 Days,67
E54000058,4-21,Attended,Unknown,Face-to-Face,8  to 14 Days,69
E54000059,12-20,Attended,Other Practice staff,Video/Online,15  to 21 Days,33
E54000056,5-21,Attended,Unknown,Unknown,1 Day,1082
E54000050,11-21,Unknown,Other Practice staff,Face-to-Face,Same Day,851
E54000057,10-21,Unknown,GP,Telephone,22  to 28 Days,83
E54000008,8-21,Attended,Unknown,Face-to-Face,15  to 21 Days,1
E54000043,3-20,Attended,GP,Home Visit,Same Day,171
E54000060,11-21,DNA,GP,Telephone,2 to 7 Days,7
E54000039,7-20,DNA,Other Practice staff,Unknown,1 Day,1
E54000050,2-21,Unknown,Other Practice staff,Telephone,Same Day,123
E54000042,2-20,Attended,GP,Video/Online,Same Day,1132
E54000029,9-21,Attended,GP,Telephone,1 Day,33846
E54000030,5-21,Attended,GP,Video/Online,8  to 14 Days,39
E54000022,4-22,DNA,GP,Face-to-Face,Same Day,527
E54000008,6-21,Attended,Unknown,Telephone,15  to 21 Days,1
E54000048,8-21,DNA,GP,Telephone,8  to 14 Days,82
E54000027,10-21,DNA,Other Practice staff,Face-to-Face,1 Day,2614
E54000038,9-20,DNA,GP,Unknown,More than 28 Days,9
E54000008,1-22,Attended,Other Practice staff,Unknown,22  to 28 Days,167
E54000041,10-21,DNA,Other Practice staff,Face-to-Face,1 Day,687
E54000008,9-20,Unknown,GP,Face-to-Face,2 to 7 Days,490
E54000050,9-20,Attended,Unknown,Telephone,15  to 21 Days,9
E54000041,8-21,Attended,Other Practice staff,Video/Online,Same Day,37
E54000058,3-20,Unknown,Unknown,Unknown,1 Day,195
E54000057,9-21,DNA,Other Practice staff,Home Visit,8  to 14 Days,1
E54000050,6-20,DNA,Other Practice staff,Face-to-Face,1 Day,444
E54000010,4-22,Attended,Other Practice staff,Face-to-Face,1 Day,2028
E54000057,3-21,DNA,GP,Unknown,2 to 7 Days,15
E54000022,9-21,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,35525
E54000055,9-21,Attended,Other Practice staff,Telephone,More than 28 Days,742
E54000042,1-20,Unknown,Unknown,Home Visit,8  to 14 Days,14
E54000053,5-22,DNA,Unknown,Home Visit,2 to 7 Days,1
E54000008,2-22,Attended,Other Practice staff,Telephone,More than 28 Days,58
E54000008,11-21,Attended,Unknown,Telephone,1 Day,102
E54000008,4-21,Attended,GP,Telephone,22  to 28 Days,143
E54000010,3-20,Attended,Unknown,Home Visit,Same Day,249
E54000050,12-20,Unknown,Other Practice staff,Home Visit,Same Day,165
E54000057,9-20,Attended,GP,Unknown,Unknown / Data Quality,3
E54000008,7-20,DNA,Other Practice staff,Face-to-Face,Same Day,359
E54000008,2-22,Unknown,GP,Telephone,More than 28 Days,41
E54000025,4-22,Unknown,Unknown,Unknown,Unknown / Data Quality,1
E54000041,2-20,Attended,Other Practice staff,Unknown,1 Day,13
E54000042,12-20,DNA,GP,Video/Online,1 Day,7
E54000057,4-22,Unknown,Other Practice staff,Home Visit,15  to 21 Days,4
E54000038,10-20,Unknown,Other Practice staff,Face-to-Face,Same Day,369
E54000010,1-21,DNA,Other Practice staff,Telephone,15  to 21 Days,11
E54000010,5-20,Attended,GP,Telephone,22  to 28 Days,3
E54000057,5-21,Unknown,GP,Unknown,15  to 21 Days,306
E54000057,5-21,Attended,Unknown,Telephone,22  to 28 Days,7
E54000058,3-22,Attended,GP,Home Visit,22  to 28 Days,6
E54000053,6-21,Attended,GP,Video/Online,22  to 28 Days,2
E54000039,7-21,Unknown,GP,Unknown,22  to 28 Days,27
E54000053,7-21,Unknown,GP,Telephone,Unknown / Data Quality,2
E54000018,5-20,Unknown,GP,Home Visit,8  to 14 Days,4
E54000054,11-21,DNA,GP,Home Visit,8  to 14 Days,1
E54000029,5-22,DNA,Other Practice staff,Unknown,2 to 7 Days,1
E54000008,8-21,Unknown,Other Practice staff,Home Visit,More than 28 Days,5
E54000050,6-22,Attended,GP,Telephone,15  to 21 Days,1965
E54000034,10-21,Unknown,Unknown,Home Visit,2 to 7 Days,2
E54000044,9-20,DNA,Other Practice staff,Telephone,15  to 21 Days,43
E54000010,8-21,Attended,GP,Face-to-Face,15  to 21 Days,403
E54000057,2-21,Unknown,Unknown,Telephone,8  to 14 Days,2
E54000048,11-20,DNA,GP,Telephone,22  to 28 Days,9
E54000034,5-21,Attended,GP,Face-to-Face,Same Day,37654
E54000025,5-21,DNA,Other Practice staff,Video/Online,2 to 7 Days,1
E54000050,2-20,Unknown,GP,Telephone,15  to 21 Days,31
E54000030,4-21,DNA,GP,Home Visit,8  to 14 Days,1
E54000048,6-21,DNA,GP,Face-to-Face,Same Day,137
E54000037,2-21,Attended,Other Practice staff,Home Visit,Same Day,467
E54000052,10-21,Attended,Other Practice staff,Home Visit,Same Day,360
E54000023,8-21,Attended,Unknown,Unknown,22  to 28 Days,150
E54000044,1-21,Unknown,GP,Face-to-Face,15  to 21 Days,68
E54000037,5-20,Unknown,GP,Home Visit,Same Day,67
E54000048,3-21,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,712
E54000022,9-21,Unknown,Other Practice staff,Video/Online,8  to 14 Days,220
E54000056,4-20,Attended,GP,Face-to-Face,2 to 7 Days,4422
E54000057,2-21,Attended,GP,Telephone,More than 28 Days,170
E54000027,5-22,DNA,Other Practice staff,Home Visit,15  to 21 Days,6
E54000040,12-20,DNA,GP,Face-to-Face,2 to 7 Days,594
E54000008,2-22,Attended,GP,Face-to-Face,22  to 28 Days,439
E54000061,3-20,Attended,Other Practice staff,Video/Online,22  to 28 Days,56
E54000048,12-20,Attended,Other Practice staff,Telephone,8  to 14 Days,505
E54000050,7-21,Unknown,Unknown,Face-to-Face,1 Day,6
E54000031,8-21,Attended,Unknown,Home Visit,2 to 7 Days,3
E54000010,10-21,DNA,GP,Face-to-Face,Same Day,228
E54000051,2-20,Unknown,Unknown,Unknown,2 to 7 Days,79
E54000061,2-21,Attended,Other Practice staff,Unknown,1 Day,57
E54000048,12-21,Unknown,Unknown,Home Visit,Same Day,7
E54000062,10-20,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,3150
E54000061,6-20,Unknown,GP,Home Visit,1 Day,1
E54000054,2-22,Attended,Unknown,Unknown,8  to 14 Days,150
E54000025,3-21,DNA,GP,Telephone,22  to 28 Days,11
E54000044,2-22,Attended,GP,Telephone,Same Day,70302
E54000057,2-20,Attended,GP,Home Visit,1 Day,50
E54000050,8-20,Attended,GP,Telephone,22  to 28 Days,121
E54000026,10-20,DNA,GP,Video/Online,More than 28 Days,1
E54000027,4-22,Unknown,Other Practice staff,Telephone,22  to 28 Days,104
E54000018,4-20,Attended,GP,Home Visit,Same Day,348
E54000051,2-20,Attended,GP,Home Visit,Same Day,297
E54000043,3-21,Attended,GP,Video/Online,2 to 7 Days,384
E54000042,4-22,DNA,GP,Telephone,2 to 7 Days,518
E54000059,2-20,Attended,GP,Video/Online,1 Day,69
E54000008,11-21,DNA,Other Practice staff,Telephone,1 Day,257
E54000008,2-21,DNA,GP,Telephone,More than 28 Days,1
E54000055,1-21,DNA,Other Practice staff,Face-to-Face,1 Day,1639
E54000057,8-20,Attended,Other Practice staff,Unknown,8  to 14 Days,2461
E54000025,11-21,Unknown,Unknown,Unknown,1 Day,30
E54000026,1-22,Unknown,Other Practice staff,Telephone,22  to 28 Days,11
E54000057,11-20,Attended,Unknown,Face-to-Face,More than 28 Days,1
E54000043,8-20,Attended,Other Practice staff,Telephone,8  to 14 Days,1561
E54000051,8-21,DNA,Other Practice staff,Video/Online,1 Day,46
E54000057,7-20,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,107
E54000052,1-22,Attended,Unknown,Home Visit,Same Day,184
E54000048,4-20,Unknown,Other Practice staff,Video/Online,15  to 21 Days,1
E54000051,11-20,DNA,Other Practice staff,Video/Online,8  to 14 Days,1
E54000036,5-22,Attended,Other Practice staff,Home Visit,8  to 14 Days,24
E54000028,3-21,Attended,Unknown,Telephone,Same Day,1412
E54000010,2-21,Unknown,Other Practice staff,Telephone,8  to 14 Days,43
E54000015,3-20,Unknown,Other Practice staff,Face-to-Face,1 Day,684
E54000052,1-22,Attended,Unknown,Face-to-Face,1 Day,59
E54000037,2-20,Unknown,GP,Video/Online,2 to 7 Days,5
E54000008,3-22,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,1
E54000026,11-20,DNA,GP,Video/Online,8  to 14 Days,4
E54000008,3-22,Attended,GP,Home Visit,2 to 7 Days,35
E54000043,1-21,Unknown,GP,Face-to-Face,15  to 21 Days,165
E54000050,7-21,DNA,GP,Telephone,8  to 14 Days,106
E54000051,7-21,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,554
E54000044,4-21,DNA,Other Practice staff,Telephone,22  to 28 Days,18
E54000008,8-20,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,75
E54000041,11-21,DNA,Other Practice staff,Telephone,15  to 21 Days,17
E54000051,8-21,Unknown,GP,Telephone,8  to 14 Days,9
E54000024,3-22,Attended,GP,Home Visit,1 Day,24
E54000053,1-20,Unknown,Other Practice staff,Face-to-Face,1 Day,200
E54000050,7-21,Attended,Other Practice staff,Face-to-Face,1 Day,4191
E54000050,5-21,Unknown,GP,Video/Online,2 to 7 Days,1
E54000055,4-21,DNA,Other Practice staff,Telephone,1 Day,124
E54000050,3-21,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,132
E54000043,3-22,Unknown,Unknown,Telephone,15  to 21 Days,2
E54000056,2-22,Unknown,GP,Video/Online,15  to 21 Days,2
E54000015,1-22,Unknown,Unknown,Home Visit,Same Day,6
E54000057,8-21,Attended,Unknown,Unknown,1 Day,3
E54000010,3-22,DNA,GP,Telephone,Same Day,115
E54000025,2-22,DNA,Other Practice staff,Home Visit,Same Day,5
E54000031,12-20,Unknown,Other Practice staff,Home Visit,More than 28 Days,3
E54000057,1-22,Attended,GP,Video/Online,15  to 21 Days,28
E54000048,4-21,Unknown,Unknown,Home Visit,1 Day,26
E54000053,5-21,Attended,Unknown,Unknown,1 Day,536
E54000024,5-22,DNA,Other Practice staff,Video/Online,2 to 7 Days,11
E54000037,3-22,Attended,Unknown,Unknown,Unknown / Data Quality,3
E54000025,1-22,Attended,Unknown,Unknown,15  to 21 Days,182
E54000015,11-21,Unknown,GP,Video/Online,8  to 14 Days,1
E54000022,1-20,Unknown,Other Practice staff,Telephone,1 Day,69
E54000059,9-20,Attended,GP,Face-to-Face,22  to 28 Days,1117
E54000050,8-21,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,7394
E54000015,1-20,Attended,Unknown,Telephone,1 Day,11
E54000054,5-20,Attended,GP,Telephone,More than 28 Days,141
E54000057,12-21,Attended,GP,Face-to-Face,Unknown / Data Quality,26
E54000031,7-21,DNA,GP,Telephone,Same Day,2230
E54000019,10-20,Attended,Other Practice staff,Home Visit,1 Day,96
E54000025,12-21,DNA,GP,Telephone,More than 28 Days,10
E54000008,12-20,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,1913
E54000050,2-22,Attended,Unknown,Unknown,15  to 21 Days,454
E54000050,3-21,DNA,GP,Telephone,22  to 28 Days,7
E54000037,3-22,DNA,GP,Face-to-Face,2 to 7 Days,1181
E54000053,7-20,Attended,GP,Unknown,More than 28 Days,8
E54000013,10-20,Unknown,Other Practice staff,Telephone,15  to 21 Days,116
E54000032,7-21,DNA,Unknown,Face-to-Face,8  to 14 Days,32
E54000048,1-20,Unknown,GP,Home Visit,22  to 28 Days,2
E54000054,3-20,DNA,Unknown,Unknown,2 to 7 Days,86
E54000029,4-21,Attended,Other Practice staff,Telephone,Same Day,32814
E54000057,7-20,DNA,GP,Face-to-Face,1 Day,305
E54000053,12-20,Attended,Other Practice staff,Telephone,More than 28 Days,223
E54000031,5-22,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,14247
E54000057,3-21,DNA,Other Practice staff,Face-to-Face,More than 28 Days,78
E54000010,11-20,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,7
E54000032,8-21,Attended,Other Practice staff,Video/Online,More than 28 Days,2
E54000027,6-21,Attended,Unknown,Unknown,2 to 7 Days,3211
E54000026,1-21,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,1856
E54000057,11-21,Attended,GP,Telephone,22  to 28 Days,1498
E54000008,2-21,Attended,Unknown,Home Visit,2 to 7 Days,2
E54000061,6-21,DNA,GP,Face-to-Face,2 to 7 Days,350
E54000008,2-22,Attended,Unknown,Face-to-Face,Unknown / Data Quality,1
E54000050,7-21,Attended,Other Practice staff,Video/Online,1 Day,1
E54000051,7-21,DNA,Other Practice staff,Telephone,8  to 14 Days,23
E54000051,5-20,DNA,Unknown,Unknown,8  to 14 Days,3
E54000010,7-20,DNA,Other Practice staff,Unknown,More than 28 Days,1
E54000061,12-20,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,3
E54000008,2-20,Attended,Other Practice staff,Video/Online,More than 28 Days,1
E54000023,2-20,Unknown,GP,Video/Online,2 to 7 Days,2
E54000057,6-20,Unknown,Other Practice staff,Telephone,2 to 7 Days,80
E54000052,3-22,Unknown,GP,Home Visit,Same Day,201
E54000013,3-20,DNA,GP,Unknown,8  to 14 Days,14
E54000048,7-21,Attended,Other Practice staff,Home Visit,8  to 14 Days,34
E54000050,4-22,Attended,Unknown,Telephone,Same Day,495
E54000051,6-22,Unknown,GP,Video/Online,8  to 14 Days,1
E54000057,7-21,Attended,GP,Telephone,15  to 21 Days,1655
E54000053,7-20,Attended,GP,Telephone,8  to 14 Days,3784
E54000050,5-21,DNA,Unknown,Unknown,Same Day,6
E54000057,5-22,Unknown,Other Practice staff,Home Visit,8  to 14 Days,21
E54000028,3-21,Unknown,Other Practice staff,Telephone,1 Day,297
E54000044,9-20,Attended,Other Practice staff,Unknown,15  to 21 Days,162
E54000044,3-21,DNA,GP,Home Visit,8  to 14 Days,7
E54000042,7-21,DNA,GP,Telephone,15  to 21 Days,18
E54000026,9-21,Unknown,Other Practice staff,Home Visit,2 to 7 Days,3
E54000037,9-21,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,69
E54000026,11-20,Unknown,Other Practice staff,Telephone,Same Day,107
E54000057,8-21,DNA,GP,Face-to-Face,22  to 28 Days,19
E54000039,1-22,DNA,GP,Telephone,2 to 7 Days,442
E54000054,2-21,DNA,GP,Face-to-Face,15  to 21 Days,11
E54000023,1-20,Attended,Other Practice staff,Video/Online,22  to 28 Days,20
E54000008,4-22,DNA,GP,Telephone,2 to 7 Days,60
E54000061,8-20,DNA,Other Practice staff,Telephone,2 to 7 Days,73
E54000061,2-22,Unknown,GP,Video/Online,1 Day,4
E54000057,4-20,DNA,Unknown,Home Visit,1 Day,16
E54000056,2-22,Attended,GP,Face-to-Face,1 Day,7160
E54000050,10-21,Attended,Unknown,Home Visit,15  to 21 Days,1
E54000008,6-20,Attended,GP,Video/Online,2 to 7 Days,28
E54000048,5-20,Unknown,GP,Telephone,2 to 7 Days,65
E54000025,11-20,Attended,GP,Video/Online,More than 28 Days,2
E54000050,6-22,Attended,Unknown,Face-to-Face,More than 28 Days,21
E54000008,1-20,Attended,Other Practice staff,Home Visit,1 Day,19
E54000057,4-22,DNA,GP,Unknown,15  to 21 Days,1
E54000048,2-22,DNA,GP,Telephone,2 to 7 Days,143
E54000057,9-20,Unknown,GP,Telephone,Same Day,306
E54000027,9-20,Unknown,GP,Telephone,More than 28 Days,510
E54000058,6-22,Attended,GP,Telephone,More than 28 Days,2323
E54000023,1-22,Unknown,GP,Telephone,More than 28 Days,16
E54000062,4-21,DNA,Other Practice staff,Telephone,1 Day,333
E54000010,9-20,Unknown,Other Practice staff,Home Visit,Same Day,27
E54000048,4-20,Unknown,GP,Telephone,Same Day,357
E54000051,7-20,Unknown,GP,Face-to-Face,1 Day,121
E54000050,4-20,Attended,GP,Telephone,8  to 14 Days,484
E54000010,1-20,Attended,Other Practice staff,Home Visit,22  to 28 Days,5
E54000025,1-22,Unknown,Unknown,Face-to-Face,Same Day,75
E54000008,11-20,Attended,Other Practice staff,Face-to-Face,More than 28 Days,2004
E54000044,8-21,DNA,GP,Telephone,22  to 28 Days,52
E54000038,2-20,Attended,Other Practice staff,Unknown,Same Day,5989
E54000061,11-20,Attended,Other Practice staff,Home Visit,Same Day,48
E54000032,12-21,Attended,Unknown,Telephone,22  to 28 Days,100
E54000061,9-21,Attended,Other Practice staff,Home Visit,15  to 21 Days,1
E54000008,12-21,Unknown,Other Practice staff,Home Visit,Same Day,11
E54000048,12-20,Attended,Unknown,Home Visit,2 to 7 Days,5
E54000061,10-20,DNA,Other Practice staff,Video/Online,2 to 7 Days,13
E54000039,2-21,Attended,GP,Unknown,2 to 7 Days,1027
E54000051,2-21,DNA,GP,Home Visit,More than 28 Days,1
E54000038,7-21,Unknown,Other Practice staff,Telephone,8  to 14 Days,91
E54000059,12-20,DNA,GP,Telephone,22  to 28 Days,6
E54000022,2-21,Attended,Other Practice staff,Telephone,8  to 14 Days,3181
E54000010,10-21,DNA,Unknown,Unknown,1 Day,1
E54000061,3-22,DNA,GP,Face-to-Face,22  to 28 Days,66
E54000026,7-20,Attended,Unknown,Unknown,2 to 7 Days,585
E54000010,5-21,DNA,Other Practice staff,Telephone,15  to 21 Days,13
E54000032,12-20,Attended,GP,Face-to-Face,22  to 28 Days,1331
E54000058,6-22,DNA,Other Practice staff,Home Visit,22  to 28 Days,12
E54000038,12-20,Unknown,GP,Face-to-Face,15  to 21 Days,208
E54000061,4-21,Attended,Unknown,Unknown,1 Day,293
E54000048,1-22,DNA,Unknown,Telephone,Same Day,16
E54000057,1-22,DNA,Other Practice staff,Home Visit,8  to 14 Days,3
E54000044,10-20,DNA,Unknown,Unknown,1 Day,1
E54000058,10-20,Unknown,Other Practice staff,Telephone,22  to 28 Days,154
E54000022,11-20,Unknown,Unknown,Home Visit,1 Day,20
E54000008,2-20,DNA,GP,Telephone,1 Day,21
E54000057,8-20,Unknown,Unknown,Face-to-Face,Same Day,35
E54000008,5-21,Unknown,Unknown,Home Visit,8  to 14 Days,2
E54000057,3-20,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,711
E54000048,1-22,DNA,GP,Face-to-Face,15  to 21 Days,51
E54000051,7-21,DNA,Other Practice staff,Video/Online,1 Day,8
E54000031,5-21,Attended,GP,Home Visit,2 to 7 Days,175
E54000057,10-21,Unknown,GP,Home Visit,Same Day,25
E54000057,1-21,DNA,Other Practice staff,Unknown,8  to 14 Days,11
E54000054,11-20,DNA,Other Practice staff,Telephone,2 to 7 Days,64
E54000051,1-21,Attended,Unknown,Unknown,8  to 14 Days,400
E54000051,6-20,Attended,Unknown,Telephone,22  to 28 Days,2
E54000042,5-21,Attended,Other Practice staff,Telephone,2 to 7 Days,1417
E54000023,7-21,Attended,Other Practice staff,Telephone,8  to 14 Days,1563
E54000022,1-21,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,22
E54000061,10-20,DNA,GP,Face-to-Face,8  to 14 Days,362
E54000010,11-20,Unknown,GP,Home Visit,1 Day,8
E54000055,4-22,Attended,Unknown,Unknown,1 Day,531
E54000057,1-22,DNA,Other Practice staff,Telephone,15  to 21 Days,60
E54000008,4-21,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,128
E54000044,3-22,DNA,Unknown,Face-to-Face,2 to 7 Days,3
E54000031,12-20,Unknown,Unknown,Home Visit,Same Day,21
E54000057,6-21,DNA,GP,Home Visit,1 Day,2
E54000030,3-20,Attended,Unknown,Telephone,1 Day,92
E54000024,7-20,Attended,GP,Face-to-Face,2 to 7 Days,16328
E54000025,11-20,Unknown,Other Practice staff,Face-to-Face,1 Day,252
E54000056,4-22,DNA,GP,Unknown,Same Day,5
E54000050,1-20,DNA,Other Practice staff,Face-to-Face,More than 28 Days,573
E54000025,2-22,Unknown,GP,Unknown,More than 28 Days,2
E54000008,2-20,Attended,Other Practice staff,Telephone,Unknown / Data Quality,1
E54000048,10-21,Unknown,GP,Face-to-Face,8  to 14 Days,141
E54000057,6-22,Unknown,Other Practice staff,Unknown,2 to 7 Days,4
E54000043,4-21,Unknown,Unknown,Home Visit,1 Day,4
E54000008,11-21,Unknown,Unknown,Telephone,Unknown / Data Quality,1
E54000055,4-21,Unknown,GP,Face-to-Face,15  to 21 Days,120
E54000028,7-20,Attended,GP,Unknown,22  to 28 Days,37
E54000008,2-20,Attended,GP,Telephone,15  to 21 Days,83
E54000008,6-22,Attended,Other Practice staff,Home Visit,8  to 14 Days,22
E54000010,2-20,Attended,GP,Telephone,2 to 7 Days,871
E54000026,2-21,Unknown,GP,Face-to-Face,15  to 21 Days,96
E54000022,1-22,Attended,Other Practice staff,Telephone,8  to 14 Days,3001
E54000008,6-22,Attended,GP,Unknown,More than 28 Days,205
E54000051,4-20,Attended,Other Practice staff,Video/Online,22  to 28 Days,1
E54000051,1-21,Attended,GP,Face-to-Face,2 to 7 Days,1266
E54000048,9-21,DNA,GP,Telephone,2 to 7 Days,201
E54000054,11-21,DNA,Other Practice staff,Unknown,2 to 7 Days,1
E54000041,5-22,DNA,GP,Video/Online,Same Day,2
E54000025,4-22,DNA,Unknown,Unknown,More than 28 Days,14
E54000010,1-21,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,11
E54000023,9-21,Unknown,Other Practice staff,Home Visit,8  to 14 Days,6
E54000050,10-20,DNA,Other Practice staff,Telephone,8  to 14 Days,229
E54000011,2-22,Attended,Other Practice staff,Unknown,1 Day,318
E54000042,2-22,Attended,Unknown,Unknown,1 Day,849
E54000008,1-22,Attended,GP,Face-to-Face,Same Day,21770
E54000032,3-21,Attended,Other Practice staff,Face-to-Face,More than 28 Days,8199
